threshold,acc,prec,recall,f1,fpr,fnr,tp,fp,tn,fn
0.0,0.5,0.49999999999833333,0.9999999999933334,0.6666666662192593,0.9999999999933334,0.0,150,150,0,0
0.005,0.9,0.8703703703649978,0.9399999999937334,0.9038461533410996,0.13999999999906668,0.059999999999600005,141,21,129,9
0.01,0.9,0.8703703703649978,0.9399999999937334,0.9038461533410996,0.13999999999906668,0.059999999999600005,141,21,129,9
0.015,0.9,0.8703703703649978,0.9399999999937334,0.9038461533410996,0.13999999999906668,0.059999999999600005,141,21,129,9
0.02,0.9033333333333333,0.8757763975100884,0.9399999999937334,0.906752411070357,0.13333333333244446,0.059999999999600005,141,20,130,9
0.025,0.9033333333333333,0.8757763975100884,0.9399999999937334,0.906752411070357,0.13333333333244446,0.059999999999600005,141,20,130,9
0.03,0.9033333333333333,0.8757763975100884,0.9399999999937334,0.906752411070357,0.13333333333244446,0.059999999999600005,141,20,130,9
0.035,0.9033333333333333,0.8757763975100884,0.9399999999937334,0.906752411070357,0.13333333333244446,0.059999999999600005,141,20,130,9
0.04,0.9033333333333333,0.8757763975100884,0.9399999999937334,0.906752411070357,0.13333333333244446,0.059999999999600005,141,20,130,9
0.045,0.9033333333333333,0.8757763975100884,0.9399999999937334,0.906752411070357,0.13333333333244446,0.059999999999600005,141,20,130,9
0.05,0.9033333333333333,0.8757763975100884,0.9399999999937334,0.906752411070357,0.13333333333244446,0.059999999999600005,141,20,130,9
0.055,0.9033333333333333,0.8757763975100884,0.9399999999937334,0.906752411070357,0.13333333333244446,0.059999999999600005,141,20,130,9
0.06,0.9033333333333333,0.8757763975100884,0.9399999999937334,0.906752411070357,0.13333333333244446,0.059999999999600005,141,20,130,9
0.065,0.9033333333333333,0.8757763975100884,0.9399999999937334,0.906752411070357,0.13333333333244446,0.059999999999600005,141,20,130,9
0.07,0.9033333333333333,0.8757763975100884,0.9399999999937334,0.906752411070357,0.13333333333244446,0.059999999999600005,141,20,130,9
0.075,0.9033333333333333,0.8757763975100884,0.9399999999937334,0.906752411070357,0.13333333333244446,0.059999999999600005,141,20,130,9
0.08,0.9033333333333333,0.8757763975100884,0.9399999999937334,0.906752411070357,0.13333333333244446,0.059999999999600005,141,20,130,9
0.085,0.9033333333333333,0.8757763975100884,0.9399999999937334,0.906752411070357,0.13333333333244446,0.059999999999600005,141,20,130,9
0.09,0.9033333333333333,0.8757763975100884,0.9399999999937334,0.906752411070357,0.13333333333244446,0.059999999999600005,141,20,130,9
0.095,0.9033333333333333,0.8757763975100884,0.9399999999937334,0.906752411070357,0.13333333333244446,0.059999999999600005,141,20,130,9
0.1,0.9033333333333333,0.8757763975100884,0.9399999999937334,0.906752411070357,0.13333333333244446,0.059999999999600005,141,20,130,9
0.105,0.9066666666666666,0.8812499999944923,0.9399999999937334,0.9096774188494902,0.12666666666582224,0.059999999999600005,141,19,131,9
0.11,0.9066666666666666,0.8812499999944923,0.9399999999937334,0.9096774188494902,0.12666666666582224,0.059999999999600005,141,19,131,9
0.115,0.9066666666666666,0.8812499999944923,0.9399999999937334,0.9096774188494902,0.12666666666582224,0.059999999999600005,141,19,131,9
0.12,0.9066666666666666,0.8812499999944923,0.9399999999937334,0.9096774188494902,0.12666666666582224,0.059999999999600005,141,19,131,9
0.125,0.9066666666666666,0.8812499999944923,0.9399999999937334,0.9096774188494902,0.12666666666582224,0.059999999999600005,141,19,131,9
0.13,0.9066666666666666,0.8812499999944923,0.9399999999937334,0.9096774188494902,0.12666666666582224,0.059999999999600005,141,19,131,9
0.135,0.9066666666666666,0.8812499999944923,0.9399999999937334,0.9096774188494902,0.12666666666582224,0.059999999999600005,141,19,131,9
0.14,0.9066666666666666,0.8812499999944923,0.9399999999937334,0.9096774188494902,0.12666666666582224,0.059999999999600005,141,19,131,9
0.145,0.9066666666666666,0.8961038960980773,0.9199999999938667,0.9078947363362189,0.10666666666595556,0.07999999999946668,138,16,134,12
0.15,0.9066666666666666,0.8961038960980773,0.9199999999938667,0.9078947363362189,0.10666666666595556,0.07999999999946668,138,16,134,12
0.155,0.9066666666666666,0.8961038960980773,0.9199999999938667,0.9078947363362189,0.10666666666595556,0.07999999999946668,138,16,134,12
0.16,0.9066666666666666,0.8961038960980773,0.9199999999938667,0.9078947363362189,0.10666666666595556,0.07999999999946668,138,16,134,12
0.165,0.9066666666666666,0.8961038960980773,0.9199999999938667,0.9078947363362189,0.10666666666595556,0.07999999999946668,138,16,134,12
0.17,0.9066666666666666,0.8961038960980773,0.9199999999938667,0.9078947363362189,0.10666666666595556,0.07999999999946668,138,16,134,12
0.17500000000000002,0.9066666666666666,0.8961038960980773,0.9199999999938667,0.9078947363362189,0.10666666666595556,0.07999999999946668,138,16,134,12
0.18,0.9066666666666666,0.8961038960980773,0.9199999999938667,0.9078947363362189,0.10666666666595556,0.07999999999946668,138,16,134,12
0.185,0.9066666666666666,0.8961038960980773,0.9199999999938667,0.9078947363362189,0.10666666666595556,0.07999999999946668,138,16,134,12
0.19,0.9066666666666666,0.8961038960980773,0.9199999999938667,0.9078947363362189,0.10666666666595556,0.07999999999946668,138,16,134,12
0.195,0.9066666666666666,0.8961038960980773,0.9199999999938667,0.9078947363362189,0.10666666666595556,0.07999999999946668,138,16,134,12
0.2,0.9066666666666666,0.8961038960980773,0.9199999999938667,0.9078947363362189,0.10666666666595556,0.07999999999946668,138,16,134,12
0.20500000000000002,0.9066666666666666,0.8961038960980773,0.9199999999938667,0.9078947363362189,0.10666666666595556,0.07999999999946668,138,16,134,12
0.21,0.91,0.9019607843078303,0.9199999999938667,0.9108910886029473,0.09999999999933334,0.07999999999946668,138,15,135,12
0.215,0.91,0.9019607843078303,0.9199999999938667,0.9108910886029473,0.09999999999933334,0.07999999999946668,138,15,135,12
0.22,0.91,0.9019607843078303,0.9199999999938667,0.9108910886029473,0.09999999999933334,0.07999999999946668,138,15,135,12
0.225,0.91,0.9019607843078303,0.9199999999938667,0.9108910886029473,0.09999999999933334,0.07999999999946668,138,15,135,12
0.23,0.91,0.9019607843078303,0.9199999999938667,0.9108910886029473,0.09999999999933334,0.07999999999946668,138,15,135,12
0.23500000000000001,0.91,0.9019607843078303,0.9199999999938667,0.9108910886029473,0.09999999999933334,0.07999999999946668,138,15,135,12
0.24,0.91,0.9019607843078303,0.9199999999938667,0.9108910886029473,0.09999999999933334,0.07999999999946668,138,15,135,12
0.245,0.91,0.9019607843078303,0.9199999999938667,0.9108910886029473,0.09999999999933334,0.07999999999946668,138,15,135,12
0.25,0.91,0.9019607843078303,0.9199999999938667,0.9108910886029473,0.09999999999933334,0.07999999999946668,138,15,135,12
0.255,0.91,0.9019607843078303,0.9199999999938667,0.9108910886029473,0.09999999999933334,0.07999999999946668,138,15,135,12
0.26,0.91,0.9019607843078303,0.9199999999938667,0.9108910886029473,0.09999999999933334,0.07999999999946668,138,15,135,12
0.265,0.91,0.9019607843078303,0.9199999999938667,0.9108910886029473,0.09999999999933334,0.07999999999946668,138,15,135,12
0.27,0.91,0.9019607843078303,0.9199999999938667,0.9108910886029473,0.09999999999933334,0.07999999999946668,138,15,135,12
0.275,0.91,0.9019607843078303,0.9199999999938667,0.9108910886029473,0.09999999999933334,0.07999999999946668,138,15,135,12
0.28,0.91,0.9019607843078303,0.9199999999938667,0.9108910886029473,0.09999999999933334,0.07999999999946668,138,15,135,12
0.28500000000000003,0.91,0.9019607843078303,0.9199999999938667,0.9108910886029473,0.09999999999933334,0.07999999999946668,138,15,135,12
0.29,0.9133333333333333,0.9843749999923097,0.8399999999944,0.9064748196404948,0.013333333333244445,0.15999999999893336,126,2,148,24
0.295,0.9133333333333333,0.9843749999923097,0.8399999999944,0.9064748196404948,0.013333333333244445,0.15999999999893336,126,2,148,24
0.3,0.9133333333333333,0.9843749999923097,0.8399999999944,0.9064748196404948,0.013333333333244445,0.15999999999893336,126,2,148,24
0.305,0.9133333333333333,0.9843749999923097,0.8399999999944,0.9064748196404948,0.013333333333244445,0.15999999999893336,126,2,148,24
0.31,0.9133333333333333,0.9843749999923097,0.8399999999944,0.9064748196404948,0.013333333333244445,0.15999999999893336,126,2,148,24
0.315,0.9133333333333333,0.9843749999923097,0.8399999999944,0.9064748196404948,0.013333333333244445,0.15999999999893336,126,2,148,24
0.32,0.9133333333333333,0.9843749999923097,0.8399999999944,0.9064748196404948,0.013333333333244445,0.15999999999893336,126,2,148,24
0.325,0.9133333333333333,0.9843749999923097,0.8399999999944,0.9064748196404948,0.013333333333244445,0.15999999999893336,126,2,148,24
0.33,0.9133333333333333,0.9843749999923097,0.8399999999944,0.9064748196404948,0.013333333333244445,0.15999999999893336,126,2,148,24
0.335,0.9133333333333333,0.9843749999923097,0.8399999999944,0.9064748196404948,0.013333333333244445,0.15999999999893336,126,2,148,24
0.34,0.91,0.984251968496187,0.8333333333277778,0.9025270753092052,0.013333333333244445,0.16666666666555557,125,2,148,25
0.34500000000000003,0.91,0.984251968496187,0.8333333333277778,0.9025270753092052,0.013333333333244445,0.16666666666555557,125,2,148,25
0.35000000000000003,0.91,0.984251968496187,0.8333333333277778,0.9025270753092052,0.013333333333244445,0.16666666666555557,125,2,148,25
0.355,0.91,0.984251968496187,0.8333333333277778,0.9025270753092052,0.013333333333244445,0.16666666666555557,125,2,148,25
0.36,0.9066666666666666,0.9841269841191735,0.8266666666611556,0.8985507241349506,0.013333333333244445,0.1733333333321778,124,2,148,26
0.365,0.9066666666666666,0.9841269841191735,0.8266666666611556,0.8985507241349506,0.013333333333244445,0.1733333333321778,124,2,148,26
0.37,0.9066666666666666,0.9841269841191735,0.8266666666611556,0.8985507241349506,0.013333333333244445,0.1733333333321778,124,2,148,26
0.375,0.9,0.983870967734001,0.8133333333279111,0.8905109484031114,0.013333333333244445,0.18666666666542223,122,2,148,28
0.38,0.9,0.983870967734001,0.8133333333279111,0.8905109484031114,0.013333333333244445,0.18666666666542223,122,2,148,28
0.385,0.9,0.983870967734001,0.8133333333279111,0.8905109484031114,0.013333333333244445,0.18666666666542223,122,2,148,28
0.39,0.9,0.983870967734001,0.8133333333279111,0.8905109484031114,0.013333333333244445,0.18666666666542223,122,2,148,28
0.395,0.9,0.983870967734001,0.8133333333279111,0.8905109484031114,0.013333333333244445,0.18666666666542223,122,2,148,28
0.4,0.9,0.983870967734001,0.8133333333279111,0.8905109484031114,0.013333333333244445,0.18666666666542223,122,2,148,28
0.405,0.9,0.983870967734001,0.8133333333279111,0.8905109484031114,0.013333333333244445,0.18666666666542223,122,2,148,28
0.41000000000000003,0.9,0.983870967734001,0.8133333333279111,0.8905109484031114,0.013333333333244445,0.18666666666542223,122,2,148,28
0.41500000000000004,0.9,0.983870967734001,0.8133333333279111,0.8905109484031114,0.013333333333244445,0.18666666666542223,122,2,148,28
0.42,0.9,0.983870967734001,0.8133333333279111,0.8905109484031114,0.013333333333244445,0.18666666666542223,122,2,148,28
0.425,0.9,0.983870967734001,0.8133333333279111,0.8905109484031114,0.013333333333244445,0.18666666666542223,122,2,148,28
0.43,0.9,0.983870967734001,0.8133333333279111,0.8905109484031114,0.013333333333244445,0.18666666666542223,122,2,148,28
0.435,0.9,0.983870967734001,0.8133333333279111,0.8905109484031114,0.013333333333244445,0.18666666666542223,122,2,148,28
0.44,0.9,0.983870967734001,0.8133333333279111,0.8905109484031114,0.013333333333244445,0.18666666666542223,122,2,148,28
0.445,0.9,0.983870967734001,0.8133333333279111,0.8905109484031114,0.013333333333244445,0.18666666666542223,122,2,148,28
0.45,0.9,0.983870967734001,0.8133333333279111,0.8905109484031114,0.013333333333244445,0.18666666666542223,122,2,148,28
0.455,0.9,0.983870967734001,0.8133333333279111,0.8905109484031114,0.013333333333244445,0.18666666666542223,122,2,148,28
0.46,0.9,0.983870967734001,0.8133333333279111,0.8905109484031114,0.013333333333244445,0.18666666666542223,122,2,148,28
0.465,0.9,0.983870967734001,0.8133333333279111,0.8905109484031114,0.013333333333244445,0.18666666666542223,122,2,148,28
0.47000000000000003,0.9,0.983870967734001,0.8133333333279111,0.8905109484031114,0.013333333333244445,0.18666666666542223,122,2,148,28
0.47500000000000003,0.9,0.983870967734001,0.8133333333279111,0.8905109484031114,0.013333333333244445,0.18666666666542223,122,2,148,28
0.48,0.9,0.983870967734001,0.8133333333279111,0.8905109484031114,0.013333333333244445,0.18666666666542223,122,2,148,28
0.485,0.9,0.983870967734001,0.8133333333279111,0.8905109484031114,0.013333333333244445,0.18666666666542223,122,2,148,28
