fpr,tpr,threshold
0.0,0.0,inf
0.0,0.5866666666666667,1.0
0.0,0.6,0.8230238739606058
0.006666666666666667,0.6,0.7344069262001297
0.013333333333333334,0.62,0.6
0.013333333333333334,0.6266666666666667,0.5663236271317063
0.02,0.6266666666666667,0.5595004017107074
0.02,0.6466666666666666,0.4357555128123252
0.02666666666666667,0.6466666666666666,0.42637481971099317
0.02666666666666667,0.66,0.363879683805738
0.10666666666666667,0.8266666666666667,0.2857142857142857
0.11333333333333333,0.8266666666666667,0.24693359114733737
0.11333333333333333,0.8533333333333334,0.14285714285714285
0.12,0.8533333333333334,0.12331374362802391
0.12,0.86,0.019728777996455997
1.0,1.0,0.0
