threshold,acc,prec,recall,f1,fpr,fnr,tp,fp,tn,fn
0.0,0.5,0.49999999999833333,0.9999999999933334,0.6666666662192593,0.9999999999933334,0.0,150,150,0,0
0.005,0.8366666666666667,0.7563451776611353,0.9933333333267111,0.8587896248644536,0.3199999999978667,0.006666666666622223,149,48,102,1
0.01,0.8366666666666667,0.7563451776611353,0.9933333333267111,0.8587896248644536,0.3199999999978667,0.006666666666622223,149,48,102,1
0.015,0.8366666666666667,0.7563451776611353,0.9933333333267111,0.8587896248644536,0.3199999999978667,0.006666666666622223,149,48,102,1
0.02,0.8366666666666667,0.7563451776611353,0.9933333333267111,0.8587896248644536,0.3199999999978667,0.006666666666622223,149,48,102,1
0.025,0.8366666666666667,0.7563451776611353,0.9933333333267111,0.8587896248644536,0.3199999999978667,0.006666666666622223,149,48,102,1
0.03,0.8366666666666667,0.7563451776611353,0.9933333333267111,0.8587896248644536,0.3199999999978667,0.006666666666622223,149,48,102,1
0.035,0.8366666666666667,0.7563451776611353,0.9933333333267111,0.8587896248644536,0.3199999999978667,0.006666666666622223,149,48,102,1
0.04,0.8433333333333334,0.7641025640986456,0.9933333333267111,0.8637681154455282,0.3066666666646222,0.006666666666622223,149,46,104,1
0.045,0.8433333333333334,0.7641025640986456,0.9933333333267111,0.8637681154455282,0.3066666666646222,0.006666666666622223,149,46,104,1
0.05,0.8433333333333334,0.7641025640986456,0.9933333333267111,0.8637681154455282,0.3066666666646222,0.006666666666622223,149,46,104,1
0.055,0.8433333333333334,0.7641025640986456,0.9933333333267111,0.8637681154455282,0.3066666666646222,0.006666666666622223,149,46,104,1
0.06,0.8433333333333334,0.7641025640986456,0.9933333333267111,0.8637681154455282,0.3066666666646222,0.006666666666622223,149,46,104,1
0.065,0.8433333333333334,0.7641025640986456,0.9933333333267111,0.8637681154455282,0.3066666666646222,0.006666666666622223,149,46,104,1
0.07,0.8433333333333334,0.7641025640986456,0.9933333333267111,0.8637681154455282,0.3066666666646222,0.006666666666622223,149,46,104,1
0.075,0.8433333333333334,0.7641025640986456,0.9933333333267111,0.8637681154455282,0.3066666666646222,0.006666666666622223,149,46,104,1
0.08,0.8433333333333334,0.7641025640986456,0.9933333333267111,0.8637681154455282,0.3066666666646222,0.006666666666622223,149,46,104,1
0.085,0.8433333333333334,0.7641025640986456,0.9933333333267111,0.8637681154455282,0.3066666666646222,0.006666666666622223,149,46,104,1
0.09,0.8433333333333334,0.7641025640986456,0.9933333333267111,0.8637681154455282,0.3066666666646222,0.006666666666622223,149,46,104,1
0.095,0.8433333333333334,0.7641025640986456,0.9933333333267111,0.8637681154455282,0.3066666666646222,0.006666666666622223,149,46,104,1
0.1,0.8433333333333334,0.7641025640986456,0.9933333333267111,0.8637681154455282,0.3066666666646222,0.006666666666622223,149,46,104,1
0.105,0.8433333333333334,0.7641025640986456,0.9933333333267111,0.8637681154455282,0.3066666666646222,0.006666666666622223,149,46,104,1
0.11,0.8433333333333334,0.7641025640986456,0.9933333333267111,0.8637681154455282,0.3066666666646222,0.006666666666622223,149,46,104,1
0.115,0.8433333333333334,0.7641025640986456,0.9933333333267111,0.8637681154455282,0.3066666666646222,0.006666666666622223,149,46,104,1
0.12,0.8433333333333334,0.7641025640986456,0.9933333333267111,0.8637681154455282,0.3066666666646222,0.006666666666622223,149,46,104,1
0.125,0.8433333333333334,0.7641025640986456,0.9933333333267111,0.8637681154455282,0.3066666666646222,0.006666666666622223,149,46,104,1
0.13,0.8433333333333334,0.7641025640986456,0.9933333333267111,0.8637681154455282,0.3066666666646222,0.006666666666622223,149,46,104,1
