recall,precision
1.0,0.5
0.86,0.8775510204081632
0.8533333333333334,0.8767123287671232
0.8533333333333334,0.8827586206896552
0.8266666666666667,0.8794326241134752
0.8266666666666667,0.8857142857142857
0.66,0.9611650485436893
0.6533333333333333,0.9607843137254902
0.6466666666666666,0.9603960396039604
0.6466666666666666,0.97
0.64,0.9696969696969697
0.6333333333333333,0.9693877551020408
0.6266666666666667,0.9690721649484536
0.6266666666666667,0.9791666666666666
0.62,0.9789473684210527
0.6,0.989010989010989
0.6,1.0
0.5933333333333334,1.0
0.5866666666666667,1.0
0.0,1.0
