recall,precision
1.0,0.5
0.9,0.7377049180327869
0.8933333333333333,0.7362637362637363
0.8933333333333333,0.7403314917127072
0.8933333333333333,0.7444444444444445
0.8733333333333333,0.7485714285714286
0.8666666666666667,0.7471264367816092
0.86,0.7456647398843931
0.86,0.75
0.7066666666666667,0.8760330578512396
0.7,0.875
0.7,0.8823529411764706
0.6933333333333334,0.8813559322033898
0.66,0.8839285714285714
0.6533333333333333,0.8828828828828829
0.6466666666666666,0.8818181818181818
0.64,0.8807339449541285
0.6333333333333333,0.8796296296296297
0.6333333333333333,0.8878504672897196
0.6266666666666667,0.8867924528301887
0.0,1.0
