threshold,acc,prec,recall,f1,fpr,fnr,tp,fp,tn,fn
0.0,0.5,0.49999999999833333,0.9999999999933334,0.6666666662192593,0.9999999999933334,0.0,150,150,0,0
0.005,0.9,0.8703703703649978,0.9399999999937334,0.9038461533410996,0.13999999999906668,0.059999999999600005,141,21,129,9
0.01,0.9,0.8703703703649978,0.9399999999937334,0.9038461533410996,0.13999999999906668,0.059999999999600005,141,21,129,9
0.015,0.9,0.8703703703649978,0.9399999999937334,0.9038461533410996,0.13999999999906668,0.059999999999600005,141,21,129,9
0.02,0.9,0.8703703703649978,0.9399999999937334,0.9038461533410996,0.13999999999906668,0.059999999999600005,141,21,129,9
0.025,0.9,0.8703703703649978,0.9399999999937334,0.9038461533410996,0.13999999999906668,0.059999999999600005,141,21,129,9
0.03,0.9,0.8703703703649978,0.9399999999937334,0.9038461533410996,0.13999999999906668,0.059999999999600005,141,21,129,9
0.035,0.9,0.8703703703649978,0.9399999999937334,0.9038461533410996,0.13999999999906668,0.059999999999600005,141,21,129,9
0.04,0.9,0.8703703703649978,0.9399999999937334,0.9038461533410996,0.13999999999906668,0.059999999999600005,141,21,129,9
0.045,0.9,0.8703703703649978,0.9399999999937334,0.9038461533410996,0.13999999999906668,0.059999999999600005,141,21,129,9
0.05,0.9,0.8703703703649978,0.9399999999937334,0.9038461533410996,0.13999999999906668,0.059999999999600005,141,21,129,9
0.055,0.9,0.8703703703649978,0.9399999999937334,0.9038461533410996,0.13999999999906668,0.059999999999600005,141,21,129,9
0.06,0.9,0.8703703703649978,0.9399999999937334,0.9038461533410996,0.13999999999906668,0.059999999999600005,141,21,129,9
0.065,0.9,0.8703703703649978,0.9399999999937334,0.9038461533410996,0.13999999999906668,0.059999999999600005,141,21,129,9
0.07,0.9,0.8703703703649978,0.9399999999937334,0.9038461533410996,0.13999999999906668,0.059999999999600005,141,21,129,9
0.075,0.9,0.8703703703649978,0.9399999999937334,0.9038461533410996,0.13999999999906668,0.059999999999600005,141,21,129,9
0.08,0.9,0.8703703703649978,0.9399999999937334,0.9038461533410996,0.13999999999906668,0.059999999999600005,141,21,129,9
0.085,0.9,0.8703703703649978,0.9399999999937334,0.9038461533410996,0.13999999999906668,0.059999999999600005,141,21,129,9
0.09,0.9,0.8703703703649978,0.9399999999937334,0.9038461533410996,0.13999999999906668,0.059999999999600005,141,21,129,9
0.095,0.9,0.8703703703649978,0.9399999999937334,0.9038461533410996,0.13999999999906668,0.059999999999600005,141,21,129,9
0.1,0.9,0.8703703703649978,0.9399999999937334,0.9038461533410996,0.13999999999906668,0.059999999999600005,141,21,129,9
0.105,0.9,0.8703703703649978,0.9399999999937334,0.9038461533410996,0.13999999999906668,0.059999999999600005,141,21,129,9
0.11,0.9,0.8703703703649978,0.9399999999937334,0.9038461533410996,0.13999999999906668,0.059999999999600005,141,21,129,9
0.115,0.9,0.8703703703649978,0.9399999999937334,0.9038461533410996,0.13999999999906668,0.059999999999600005,141,21,129,9
0.12,0.9,0.8703703703649978,0.9399999999937334,0.9038461533410996,0.13999999999906668,0.059999999999600005,141,21,129,9
0.125,0.9,0.8703703703649978,0.9399999999937334,0.9038461533410996,0.13999999999906668,0.059999999999600005,141,21,129,9
0.13,0.9,0.8703703703649978,0.9399999999937334,0.9038461533410996,0.13999999999906668,0.059999999999600005,141,21,129,9
0.135,0.9,0.8703703703649978,0.9399999999937334,0.9038461533410996,0.13999999999906668,0.059999999999600005,141,21,129,9
0.14,0.9,0.8703703703649978,0.9399999999937334,0.9038461533410996,0.13999999999906668,0.059999999999600005,141,21,129,9
0.145,0.91,0.8967741935426016,0.9266666666604889,0.9114754093302231,0.10666666666595556,0.07333333333284445,139,16,134,11
0.15,0.91,0.8967741935426016,0.9266666666604889,0.9114754093302231,0.10666666666595556,0.07333333333284445,139,16,134,11
0.155,0.91,0.8967741935426016,0.9266666666604889,0.9114754093302231,0.10666666666595556,0.07333333333284445,139,16,134,11
0.16,0.91,0.8967741935426016,0.9266666666604889,0.9114754093302231,0.10666666666595556,0.07333333333284445,139,16,134,11
0.165,0.91,0.8967741935426016,0.9266666666604889,0.9114754093302231,0.10666666666595556,0.07333333333284445,139,16,134,11
0.17,0.91,0.8967741935426016,0.9266666666604889,0.9114754093302231,0.10666666666595556,0.07333333333284445,139,16,134,11
0.17500000000000002,0.91,0.8967741935426016,0.9266666666604889,0.9114754093302231,0.10666666666595556,0.07333333333284445,139,16,134,11
0.18,0.91,0.8967741935426016,0.9266666666604889,0.9114754093302231,0.10666666666595556,0.07333333333284445,139,16,134,11
0.185,0.91,0.8967741935426016,0.9266666666604889,0.9114754093302231,0.10666666666595556,0.07333333333284445,139,16,134,11
0.19,0.91,0.8967741935426016,0.9266666666604889,0.9114754093302231,0.10666666666595556,0.07333333333284445,139,16,134,11
0.195,0.91,0.8967741935426016,0.9266666666604889,0.9114754093302231,0.10666666666595556,0.07333333333284445,139,16,134,11
0.2,0.91,0.8967741935426016,0.9266666666604889,0.9114754093302231,0.10666666666595556,0.07333333333284445,139,16,134,11
0.20500000000000002,0.91,0.8967741935426016,0.9266666666604889,0.9114754093302231,0.10666666666595556,0.07333333333284445,139,16,134,11
0.21,0.91,0.8967741935426016,0.9266666666604889,0.9114754093302231,0.10666666666595556,0.07333333333284445,139,16,134,11
0.215,0.91,0.8967741935426016,0.9266666666604889,0.9114754093302231,0.10666666666595556,0.07333333333284445,139,16,134,11
0.22,0.91,0.8967741935426016,0.9266666666604889,0.9114754093302231,0.10666666666595556,0.07333333333284445,139,16,134,11
0.225,0.91,0.8967741935426016,0.9266666666604889,0.9114754093302231,0.10666666666595556,0.07333333333284445,139,16,134,11
0.23,0.91,0.8967741935426016,0.9266666666604889,0.9114754093302231,0.10666666666595556,0.07333333333284445,139,16,134,11
0.23500000000000001,0.9133333333333333,0.9025974025915416,0.9266666666604889,0.9144736837045966,0.09999999999933334,0.07333333333284445,139,15,135,11
0.24,0.9133333333333333,0.9025974025915416,0.9266666666604889,0.9144736837045966,0.09999999999933334,0.07333333333284445,139,15,135,11
0.245,0.9133333333333333,0.9025974025915416,0.9266666666604889,0.9144736837045966,0.09999999999933334,0.07333333333284445,139,15,135,11
0.25,0.9133333333333333,0.9025974025915416,0.9266666666604889,0.9144736837045966,0.09999999999933334,0.07333333333284445,139,15,135,11
0.255,0.9133333333333333,0.9025974025915416,0.9266666666604889,0.9144736837045966,0.09999999999933334,0.07333333333284445,139,15,135,11
0.26,0.9133333333333333,0.9025974025915416,0.9266666666604889,0.9144736837045966,0.09999999999933334,0.07333333333284445,139,15,135,11
0.265,0.9133333333333333,0.9025974025915416,0.9266666666604889,0.9144736837045966,0.09999999999933334,0.07333333333284445,139,15,135,11
0.27,0.9133333333333333,0.9025974025915416,0.9266666666604889,0.9144736837045966,0.09999999999933334,0.07333333333284445,139,15,135,11
0.275,0.9133333333333333,0.9025974025915416,0.9266666666604889,0.9144736837045966,0.09999999999933334,0.07333333333284445,139,15,135,11
0.28,0.9133333333333333,0.9025974025915416,0.9266666666604889,0.9144736837045966,0.09999999999933334,0.07333333333284445,139,15,135,11
0.28500000000000003,0.9133333333333333,0.9025974025915416,0.9266666666604889,0.9144736837045966,0.09999999999933334,0.07333333333284445,139,15,135,11
0.29,0.9133333333333333,0.9492753623119619,0.8733333333275112,0.9097222217167729,0.04666666666635556,0.12666666666582224,131,7,143,19
0.295,0.9133333333333333,0.9492753623119619,0.8733333333275112,0.9097222217167729,0.04666666666635556,0.12666666666582224,131,7,143,19
0.3,0.9133333333333333,0.9492753623119619,0.8733333333275112,0.9097222217167729,0.04666666666635556,0.12666666666582224,131,7,143,19
0.305,0.9133333333333333,0.9492753623119619,0.8733333333275112,0.9097222217167729,0.04666666666635556,0.12666666666582224,131,7,143,19
0.31,0.9133333333333333,0.9492753623119619,0.8733333333275112,0.9097222217167729,0.04666666666635556,0.12666666666582224,131,7,143,19
0.315,0.9133333333333333,0.9492753623119619,0.8733333333275112,0.9097222217167729,0.04666666666635556,0.12666666666582224,131,7,143,19
0.32,0.91,0.9489051094821248,0.866666666660889,0.905923344442448,0.04666666666635556,0.13333333333244446,130,7,143,20
0.325,0.91,0.9489051094821248,0.866666666660889,0.905923344442448,0.04666666666635556,0.13333333333244446,130,7,143,20
0.33,0.91,0.9489051094821248,0.866666666660889,0.905923344442448,0.04666666666635556,0.13333333333244446,130,7,143,20
0.335,0.91,0.9489051094821248,0.866666666660889,0.905923344442448,0.04666666666635556,0.13333333333244446,130,7,143,20
0.34,0.91,0.9489051094821248,0.866666666660889,0.905923344442448,0.04666666666635556,0.13333333333244446,130,7,143,20
0.34500000000000003,0.91,0.9489051094821248,0.866666666660889,0.905923344442448,0.04666666666635556,0.13333333333244446,130,7,143,20
0.35000000000000003,0.91,0.9489051094821248,0.866666666660889,0.905923344442448,0.04666666666635556,0.13333333333244446,130,7,143,20
0.355,0.91,0.9489051094821248,0.866666666660889,0.905923344442448,0.04666666666635556,0.13333333333244446,130,7,143,20
0.36,0.91,0.9489051094821248,0.866666666660889,0.905923344442448,0.04666666666635556,0.13333333333244446,130,7,143,20
0.365,0.91,0.9489051094821248,0.866666666660889,0.905923344442448,0.04666666666635556,0.13333333333244446,130,7,143,20
0.37,0.9066666666666666,0.9485294117577314,0.8599999999942667,0.9020979015927918,0.04666666666635556,0.13999999999906668,129,7,143,21
0.375,0.9066666666666666,0.9485294117577314,0.8599999999942667,0.9020979015927918,0.04666666666635556,0.13999999999906668,129,7,143,21
0.38,0.9066666666666666,0.9485294117577314,0.8599999999942667,0.9020979015927918,0.04666666666635556,0.13999999999906668,129,7,143,21
0.385,0.9066666666666666,0.9485294117577314,0.8599999999942667,0.9020979015927918,0.04666666666635556,0.13999999999906668,129,7,143,21
0.39,0.9066666666666666,0.9485294117577314,0.8599999999942667,0.9020979015927918,0.04666666666635556,0.13999999999906668,129,7,143,21
0.395,0.9066666666666666,0.9485294117577314,0.8599999999942667,0.9020979015927918,0.04666666666635556,0.13999999999906668,129,7,143,21
0.4,0.9066666666666666,0.9485294117577314,0.8599999999942667,0.9020979015927918,0.04666666666635556,0.13999999999906668,129,7,143,21
0.405,0.9066666666666666,0.9485294117577314,0.8599999999942667,0.9020979015927918,0.04666666666635556,0.13999999999906668,129,7,143,21
0.41000000000000003,0.9066666666666666,0.9485294117577314,0.8599999999942667,0.9020979015927918,0.04666666666635556,0.13999999999906668,129,7,143,21
0.41500000000000004,0.9033333333333333,0.9481481481411249,0.8533333333276445,0.8982456135301693,0.04666666666635556,0.1466666666656889,128,7,143,22
0.42,0.9033333333333333,0.9481481481411249,0.8533333333276445,0.8982456135301693,0.04666666666635556,0.1466666666656889,128,7,143,22
0.425,0.9033333333333333,0.9481481481411249,0.8533333333276445,0.8982456135301693,0.04666666666635556,0.1466666666656889,128,7,143,22
0.43,0.9033333333333333,0.9481481481411249,0.8533333333276445,0.8982456135301693,0.04666666666635556,0.1466666666656889,128,7,143,22
0.435,0.9,0.947761194022778,0.8466666666610223,0.8943661966783871,0.04666666666635556,0.1533333333323111,127,7,143,23
0.44,0.9,0.947761194022778,0.8466666666610223,0.8943661966783871,0.04666666666635556,0.1533333333323111,127,7,143,23
0.445,0.9,0.947761194022778,0.8466666666610223,0.8943661966783871,0.04666666666635556,0.1533333333323111,127,7,143,23
0.45,0.9,0.947761194022778,0.8466666666610223,0.8943661966783871,0.04666666666635556,0.1533333333323111,127,7,143,23
0.455,0.9,0.947761194022778,0.8466666666610223,0.8943661966783871,0.04666666666635556,0.1533333333323111,127,7,143,23
0.46,0.9,0.947761194022778,0.8466666666610223,0.8943661966783871,0.04666666666635556,0.1533333333323111,127,7,143,23
0.465,0.9,0.947761194022778,0.8466666666610223,0.8943661966783871,0.04666666666635556,0.1533333333323111,127,7,143,23
0.47000000000000003,0.9,0.947761194022778,0.8466666666610223,0.8943661966783871,0.04666666666635556,0.1533333333323111,127,7,143,23
0.47500000000000003,0.9,0.947761194022778,0.8466666666610223,0.8943661966783871,0.04666666666635556,0.1533333333323111,127,7,143,23
0.48,0.9,0.947761194022778,0.8466666666610223,0.8943661966783871,0.04666666666635556,0.1533333333323111,127,7,143,23
0.485,0.9,0.947761194022778,0.8466666666610223,0.8943661966783871,0.04666666666635556,0.1533333333323111,127,7,143,23
0.49,0.9,0.947761194022778,0.8466666666610223,0.8943661966783871,0.04666666666635556,0.1533333333323111,127,7,143,23
