threshold,acc,prec,recall,f1,fpr,fnr,tp,fp,tn,fn
0.0,0.5,0.49999999999833333,0.9999999999933334,0.6666666662192593,0.9999999999933334,0.0,150,150,0,0
0.005,0.9133333333333333,0.8604651162740671,0.986666666660089,0.9192546578817175,0.15999999999893336,0.013333333333244445,148,24,126,2
0.01,0.9133333333333333,0.8604651162740671,0.986666666660089,0.9192546578817175,0.15999999999893336,0.013333333333244445,148,24,126,2
0.015,0.9133333333333333,0.8604651162740671,0.986666666660089,0.9192546578817175,0.15999999999893336,0.013333333333244445,148,24,126,2
0.02,0.9133333333333333,0.8604651162740671,0.986666666660089,0.9192546578817175,0.15999999999893336,0.013333333333244445,148,24,126,2
0.025,0.9133333333333333,0.8604651162740671,0.986666666660089,0.9192546578817175,0.15999999999893336,0.013333333333244445,148,24,126,2
0.03,0.9133333333333333,0.8604651162740671,0.986666666660089,0.9192546578817175,0.15999999999893336,0.013333333333244445,148,24,126,2
0.035,0.9133333333333333,0.8604651162740671,0.986666666660089,0.9192546578817175,0.15999999999893336,0.013333333333244445,148,24,126,2
0.04,0.9133333333333333,0.8604651162740671,0.986666666660089,0.9192546578817175,0.15999999999893336,0.013333333333244445,148,24,126,2
0.045,0.9133333333333333,0.8604651162740671,0.986666666660089,0.9192546578817175,0.15999999999893336,0.013333333333244445,148,24,126,2
0.05,0.9133333333333333,0.8604651162740671,0.986666666660089,0.9192546578817175,0.15999999999893336,0.013333333333244445,148,24,126,2
0.055,0.9133333333333333,0.8604651162740671,0.986666666660089,0.9192546578817175,0.15999999999893336,0.013333333333244445,148,24,126,2
0.06,0.9133333333333333,0.8604651162740671,0.986666666660089,0.9192546578817175,0.15999999999893336,0.013333333333244445,148,24,126,2
0.065,0.9133333333333333,0.8604651162740671,0.986666666660089,0.9192546578817175,0.15999999999893336,0.013333333333244445,148,24,126,2
0.07,0.9133333333333333,0.8604651162740671,0.986666666660089,0.9192546578817175,0.15999999999893336,0.013333333333244445,148,24,126,2
0.075,0.9133333333333333,0.8604651162740671,0.986666666660089,0.9192546578817175,0.15999999999893336,0.013333333333244445,148,24,126,2
0.08,0.9133333333333333,0.8604651162740671,0.986666666660089,0.9192546578817175,0.15999999999893336,0.013333333333244445,148,24,126,2
0.085,0.9133333333333333,0.8604651162740671,0.986666666660089,0.9192546578817175,0.15999999999893336,0.013333333333244445,148,24,126,2
0.09,0.9133333333333333,0.8604651162740671,0.986666666660089,0.9192546578817175,0.15999999999893336,0.013333333333244445,148,24,126,2
0.095,0.9133333333333333,0.8604651162740671,0.986666666660089,0.9192546578817175,0.15999999999893336,0.013333333333244445,148,24,126,2
0.1,0.9133333333333333,0.8604651162740671,0.986666666660089,0.9192546578817175,0.15999999999893336,0.013333333333244445,148,24,126,2
0.105,0.9133333333333333,0.8604651162740671,0.986666666660089,0.9192546578817175,0.15999999999893336,0.013333333333244445,148,24,126,2
0.11,0.9133333333333333,0.8604651162740671,0.986666666660089,0.9192546578817175,0.15999999999893336,0.013333333333244445,148,24,126,2
0.115,0.9133333333333333,0.8604651162740671,0.986666666660089,0.9192546578817175,0.15999999999893336,0.013333333333244445,148,24,126,2
0.12,0.9133333333333333,0.8604651162740671,0.986666666660089,0.9192546578817175,0.15999999999893336,0.013333333333244445,148,24,126,2
