fpr,tpr,threshold
0.0,0.0,inf
0.013333333333333334,0.9533333333333334,1.0
0.013333333333333334,0.96,0.8858537765516834
0.10666666666666667,0.9866666666666667,0.2857142857142857
0.12,0.9866666666666667,0.15854566759657523
0.16,0.9866666666666667,0.14285714285714285
1.0,1.0,0.0
