threshold,acc,prec,recall,f1,fpr,fnr,tp,fp,tn,fn
0.0,0.5,0.49999999999833333,0.9999999999933334,0.6666666662192593,0.9999999999933334,0.0,150,150,0,0
0.005,0.95,0.9141104294422447,0.9933333333267111,0.9520766768110729,0.09333333333271111,0.006666666666622223,149,14,136,1
0.01,0.95,0.9141104294422447,0.9933333333267111,0.9520766768110729,0.09333333333271111,0.006666666666622223,149,14,136,1
0.015,0.95,0.9141104294422447,0.9933333333267111,0.9520766768110729,0.09333333333271111,0.006666666666622223,149,14,136,1
0.02,0.95,0.9141104294422447,0.9933333333267111,0.9520766768110729,0.09333333333271111,0.006666666666622223,149,14,136,1
0.025,0.95,0.9141104294422447,0.9933333333267111,0.9520766768110729,0.09333333333271111,0.006666666666622223,149,14,136,1
0.03,0.95,0.9141104294422447,0.9933333333267111,0.9520766768110729,0.09333333333271111,0.006666666666622223,149,14,136,1
0.035,0.95,0.9141104294422447,0.9933333333267111,0.9520766768110729,0.09333333333271111,0.006666666666622223,149,14,136,1
0.04,0.95,0.9141104294422447,0.9933333333267111,0.9520766768110729,0.09333333333271111,0.006666666666622223,149,14,136,1
0.045,0.95,0.9141104294422447,0.9933333333267111,0.9520766768110729,0.09333333333271111,0.006666666666622223,149,14,136,1
0.05,0.95,0.9141104294422447,0.9933333333267111,0.9520766768110729,0.09333333333271111,0.006666666666622223,149,14,136,1
0.055,0.95,0.9141104294422447,0.9933333333267111,0.9520766768110729,0.09333333333271111,0.006666666666622223,149,14,136,1
0.06,0.95,0.9141104294422447,0.9933333333267111,0.9520766768110729,0.09333333333271111,0.006666666666622223,149,14,136,1
0.065,0.95,0.9141104294422447,0.9933333333267111,0.9520766768110729,0.09333333333271111,0.006666666666622223,149,14,136,1
0.07,0.95,0.9141104294422447,0.9933333333267111,0.9520766768110729,0.09333333333271111,0.006666666666622223,149,14,136,1
0.075,0.95,0.9141104294422447,0.9933333333267111,0.9520766768110729,0.09333333333271111,0.006666666666622223,149,14,136,1
0.08,0.95,0.9141104294422447,0.9933333333267111,0.9520766768110729,0.09333333333271111,0.006666666666622223,149,14,136,1
0.085,0.95,0.9141104294422447,0.9933333333267111,0.9520766768110729,0.09333333333271111,0.006666666666622223,149,14,136,1
0.09,0.95,0.9141104294422447,0.9933333333267111,0.9520766768110729,0.09333333333271111,0.006666666666622223,149,14,136,1
0.095,0.95,0.9141104294422447,0.9933333333267111,0.9520766768110729,0.09333333333271111,0.006666666666622223,149,14,136,1
0.1,0.95,0.9141104294422447,0.9933333333267111,0.9520766768110729,0.09333333333271111,0.006666666666622223,149,14,136,1
0.105,0.95,0.9141104294422447,0.9933333333267111,0.9520766768110729,0.09333333333271111,0.006666666666622223,149,14,136,1
0.11,0.95,0.9141104294422447,0.9933333333267111,0.9520766768110729,0.09333333333271111,0.006666666666622223,149,14,136,1
0.115,0.95,0.9141104294422447,0.9933333333267111,0.9520766768110729,0.09333333333271111,0.006666666666622223,149,14,136,1
0.12,0.95,0.9141104294422447,0.9933333333267111,0.9520766768110729,0.09333333333271111,0.006666666666622223,149,14,136,1
0.125,0.95,0.9141104294422447,0.9933333333267111,0.9520766768110729,0.09333333333271111,0.006666666666622223,149,14,136,1
0.13,0.95,0.9141104294422447,0.9933333333267111,0.9520766768110729,0.09333333333271111,0.006666666666622223,149,14,136,1
0.135,0.9533333333333334,0.9197530864140756,0.9933333333267111,0.9551282046228221,0.0866666666660889,0.006666666666622223,149,13,137,1
0.14,0.9533333333333334,0.9197530864140756,0.9933333333267111,0.9551282046228221,0.0866666666660889,0.006666666666622223,149,13,137,1
0.145,0.9633333333333334,0.9426751592296646,0.986666666660089,0.9641693806014707,0.059999999999600005,0.013333333333244445,148,9,141,2
0.15,0.9633333333333334,0.9426751592296646,0.986666666660089,0.9641693806014707,0.059999999999600005,0.013333333333244445,148,9,141,2
0.155,0.9633333333333334,0.9426751592296646,0.986666666660089,0.9641693806014707,0.059999999999600005,0.013333333333244445,148,9,141,2
0.16,0.9633333333333334,0.9426751592296646,0.986666666660089,0.9641693806014707,0.059999999999600005,0.013333333333244445,148,9,141,2
0.165,0.9633333333333334,0.9426751592296646,0.986666666660089,0.9641693806014707,0.059999999999600005,0.013333333333244445,148,9,141,2
0.17,0.9633333333333334,0.9426751592296646,0.986666666660089,0.9641693806014707,0.059999999999600005,0.013333333333244445,148,9,141,2
0.17500000000000002,0.9633333333333334,0.9426751592296646,0.986666666660089,0.9641693806014707,0.059999999999600005,0.013333333333244445,148,9,141,2
0.18,0.9633333333333334,0.9426751592296646,0.986666666660089,0.9641693806014707,0.059999999999600005,0.013333333333244445,148,9,141,2
0.185,0.9633333333333334,0.9426751592296646,0.986666666660089,0.9641693806014707,0.059999999999600005,0.013333333333244445,148,9,141,2
0.19,0.9633333333333334,0.9426751592296646,0.986666666660089,0.9641693806014707,0.059999999999600005,0.013333333333244445,148,9,141,2
0.195,0.9633333333333334,0.9426751592296646,0.986666666660089,0.9641693806014707,0.059999999999600005,0.013333333333244445,148,9,141,2
